system,window_size,depth,is_representative,permutator_order,permutator_sd,holonomy_order,holonomy_sd,n_tiles,classification,moves_D,moves_W,composite_pairs,window_paper
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"11=(D:1,W:3)->17=(D:2,W:1) ; 17=(D:2,W:1)->11=(D:1,W:3)","11=(D:1,W:3) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"15=(D:1,W:7)->21=(D:2,W:5) ; 21=(D:2,W:5)->15=(D:1,W:7)","15=(D:1,W:7) 21=(D:2,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","12=(D:1,W:4) 13=(D:1,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->18=(D:2,W:2) ; 18=(D:2,W:2)->9=(D:1,W:1)","9=(D:1,W:1) 18=(D:2,W:2)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->30=(D:3,W:6) ; 30=(D:3,W:6)->13=(D:1,W:5)","13=(D:1,W:5) 30=(D:3,W:6)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->29=(D:3,W:5) ; 29=(D:3,W:5)->9=(D:1,W:1)","9=(D:1,W:1) 29=(D:3,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->31=(D:3,W:7) ; 31=(D:3,W:7)->9=(D:1,W:1)","9=(D:1,W:1) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->31=(D:3,W:7) ; 31=(D:3,W:7)->13=(D:1,W:5)","13=(D:1,W:5) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->19=(D:2,W:3) ; 19=(D:2,W:3)->9=(D:1,W:1)","9=(D:1,W:1) 19=(D:2,W:3)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->23=(D:2,W:7) ; 23=(D:2,W:7)->13=(D:1,W:5)","13=(D:1,W:5) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"0=(D:0,W:0)->21=(D:2,W:5) ; 21=(D:2,W:5)->0=(D:0,W:0)","0=(D:0,W:0) 21=(D:2,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"10=(D:1,W:2)->23=(D:2,W:7) ; 23=(D:2,W:7)->10=(D:1,W:2)","10=(D:1,W:2) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->17=(D:2,W:1) ; 17=(D:2,W:1)->13=(D:1,W:5)","13=(D:1,W:5) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"15=(D:1,W:7)->19=(D:2,W:3) ; 19=(D:2,W:3)->15=(D:1,W:7)","15=(D:1,W:7) 19=(D:2,W:3)"
W_to_D,4,7,false,2,"C2",2,"C2",4,COMPOSITE,true,true,"4=(D:0,W:4)->13=(D:1,W:5) ; 13=(D:1,W:5)->4=(D:0,W:4)","4=(D:0,W:4) 13=(D:1,W:5) 17=(D:2,W:1) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"12=(D:1,W:4)->23=(D:2,W:7) ; 23=(D:2,W:7)->12=(D:1,W:4)","12=(D:1,W:4) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"12=(D:1,W:4)->21=(D:2,W:5) ; 21=(D:2,W:5)->12=(D:1,W:4)","12=(D:1,W:4) 21=(D:2,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 18=(D:2,W:2)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"21=(D:2,W:5)->30=(D:3,W:6) ; 30=(D:3,W:6)->21=(D:2,W:5)","21=(D:2,W:5) 30=(D:3,W:6)"
